StartDate,EndDate,AssetID,MachineName,MachineType,OEM,Model,VIN,Manufacturing year,EngineType,EmissionStandard,Site,Group,Active (hh:mm),Idle (hh:mm),Total On (hh:mm),Off (hh:mm),Idle (%),Utilisation (%),Fuel (L),Fuel burn (l/h),CO2 Emissions (t),Tips,Indicative payload (t),Data Level (%),Telematics found,Activity Data Source,Location Data Source,Hour Meter Data Source,Productivity Data Source,Fuel Data Source,Ownership type,Owner,Note,Subscriptions
2023/07/31,2023/08/01,,G966,DUMP_TRUCK_DUMPER,UNKNOWN,,BEC00488,,,,CORNWALL,Z Spare,,,,,,,,,,0,,0,Yes,MaxActive - LoRa 4CBC983147FFFF99,MaxActive - LoRa 4CBC983147FFFF99,MaxActive - LoRa 4CBC983147FFFF99,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,G969,DUMP_TRUCK_DUMPER,CATERPILLAR,775G,RFM00753,,,,CORNWALL,WA1,,,,,,,238,,0.63,0,,0,Yes,MaxActive - LoRa 4CBC98319B960B08,MaxActive - LoRa 4CBC98319B960B08,MaxActive - LoRa 4CBC98319B960B08,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,JCB NB,WHEELED_LOADER,JCB,427,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049885344,,MaxActive - Cellular 867035049885344,,,,,,
2023/07/31,2023/08/01,,JCB RS,WHEELED_LOADER,JCB,427,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049919754,,MaxActive - Cellular 867035049919754,,,,,,
2023/07/31,2023/08/01,,JCB ST,WHEELED_LOADER,JCB,457,,,,,DEVON,DEVON - Quarries,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049919739,,MaxActive - Cellular 867035049919739,,,,,,
2023/07/31,2023/08/01,,L60,WHEELED_LOADER,VOLVO,L60H,L60H013623VOLVO,,,,DEVON,DEVON - Processing,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC98310C897725,,MaxActive - LoRa 4CBC98310C897725,,,,,,
2023/07/31,2023/08/01,,L60 - Mill,WHEELED_LOADER,VOLVO,L60H,L60H013623VOLVO,,,,DEVON,DEVON - Processing,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC983113480BF1,,MaxActive - LoRa 4CBC983113480BF1,,,,,,
2023/07/31,2023/08/01,,L7,WHEELED_LOADER,JOHN_DEERE,644HMH,577808,2001,Diesel,Stage I,QUINCY,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 860536043105461,,MaxActive - Cellular 860536043105461,,,OWNED,,,
2023/07/31,2023/08/01,,L90,WHEELED_LOADER,VOLVO,L90H,,,,,DEVON,DEVON - Processing,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC983199B55E16,,MaxActive - LoRa 4CBC983199B55E16,,,,,,
2023/07/31,2023/08/01,,PUMP 1217,PUMP,OTHER,,,,,,GLOMEL,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867198057157814,,MaxActive - Cellular 867198057157814,,,,,,
2023/07/31,2023/08/01,,PUMP 1220,PUMP,OTHER,,,,,,GLOMEL,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 860186054918079,MaxActive - Cellular 860186054918079,MaxActive - Cellular 860186054918079,,,,,,
2023/07/31,2023/08/01,,Pala cernita,WHEELED_LOADER,KOBELCO,W110G,,,,,ITALY,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC98318F282C19,,MaxActive - LoRa 4CBC98318F282C19,,,,,,
2023/07/31,2023/08/01,,R106_Sandvik,OTHER,UNKNOWN,,,,,,CORNWALL,R,,,,,,,,,,,,0,Yes,MaxActive - Cellular 868963046227815,MaxActive - Cellular 868963046227815,MaxActive - Cellular 868963046227815,,,,,,
2023/07/31,2023/08/01,,R107_Sandvik,OTHER,UNKNOWN,,,,,,CORNWALL,R,02:34,01:38,04:11,33:37,38.7,61.3,,,,,,100,Yes,MaxActive - LoRa 4CBC9831F6189D2C,MaxActive - LoRa 4CBC9831F6189D2C,MaxActive - LoRa 4CBC9831F6189D2C,,,,,,
2023/07/31,2023/08/01,,R109_AtlasCopco,OTHER,UNKNOWN,,,,,,CORNWALL,R,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9832217EB9EB,MaxActive - LoRa 4CBC9832217EB9EB,MaxActive - LoRa 4CBC9832217EB9EB,,,,,,
2023/07/31,2023/08/01,,R414,DRILL,OTHER,,,,,,CORNWALL,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9832217B9C46,,MaxActive - LoRa 4CBC9832217B9C46,,,,,,
2023/07/31,2023/08/01,,T003 WK19AXY,OTHER,UNKNOWN,,,,,,CORNWALL,CA,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9832216452D4,,MaxActive - LoRa 4CBC9832216452D4,,,,,,
2023/07/31,2023/08/01,,TOYBH  966 H,WHEELED_LOADER,CATERPILLAR,,,,,,ITEA,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC98314601651E,,MaxActive - LoRa 4CBC98314601651E,,,,,,
2023/07/31,2023/08/01,,TOYBH  988 G,WHEELED_LOADER,CATERPILLAR,,,,,,ITEA,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC9831403647FF,,MaxActive - LoRa 4CBC9831403647FF,,,,,,
2023/07/31,2023/08/01,,TOYBH 980 H   (Φ-40),WHEELED_LOADER,CATERPILLAR,,,,,,ITEA,UNALLOCATED,,,,,,,,,,,,0,No,,,,,,,,,
2023/07/31,2023/08/01,,TOYBH 980 K,WHEELED_LOADER,CATERPILLAR,,,,,,ITEA,UNALLOCATED,00:01,00:00,00:01,39:55,0,100,,,,,,100,Yes,MaxActive - LoRa 4CBC9831CA520E1C,MaxActive - LoRa 4CBC9831CA520E1C,MaxActive - LoRa 4CBC9831CA520E1C,,,,,,
2023/07/31,2023/08/01,,TOYBH 988H,WHEELED_LOADER,CATERPILLAR,,,,,,ITEA,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - LoRa 4CBC983126810533,,MaxActive - LoRa 4CBC983126810533,,,,,,
2023/07/31,2023/08/01,,Trommel,SCREENER,OTHER,Phoenix 2100,,,,,QUINCY,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049896564,,MaxActive - Cellular 867035049896564,,,,,,
2023/07/31,2023/08/01,,Wheel loader FR3-1,WHEELED_LOADER,OTHER,,,,,,CLERAC,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049917824,,MaxActive - Cellular 867035049917824,,,,,,
2023/07/31,2023/08/01,,Wheel loader FR3-2,WHEELED_LOADER,OTHER,,,,,,CLERAC,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049917840,,MaxActive - Cellular 867035049917840,,,,,,
2023/07/31,2023/08/01,,Wheel loader S4,WHEELED_LOADER,OTHER,,,,,,CLERAC,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049905308,,MaxActive - Cellular 867035049905308,,,,,,
2023/07/31,2023/08/01,,X200,OTHER,UNKNOWN,,B1M03885,,,,CORNWALL,UNALLOCATED,05:55,01:59,07:54,29:08,25.2,74.8,,,,0,,100,Yes,MaxActive - LoRa 4CBC9831DE98FC5E,,MaxActive - LoRa 4CBC9831DE98FC5E,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,X829D,OTHER,UNKNOWN,,AFX00707,0,,,CORNWALL,Z Spare,07:36,00:00,07:36,30:04,0,100,105,13.82,0.28,0,,100,Yes,MaxActive - LoRa 4CBC983120A90972,,MaxActive - LoRa 4CBC983120A90972,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,,wheel loader HG,WHEELED_LOADER,OTHER,,,,,,CLERAC,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxActive - Cellular 867035049917915,,MaxActive - Cellular 867035049917915,,,,,,
2023/07/31,2023/08/01,#442,D7R,DOZER,CATERPILLAR,,AEC01694,,,,ANDERSONVILLE,UNALLOCATED,05:54,,05:54,,,100,,,,,,100,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,MaxTipper 862315066427351,CAT - AEMP 2.0,OWNED,Imerys,,
2023/07/31,2023/08/01,10701,Wheel Loader #120 Komatsu WA470-6R,WHEELED_LOADER,KOMATSU,WA470-6R,10701,,Diesel,,ALMERIA,UNALLOCATED,,,,,,,,,,,,0,No,,,,,,OWNED,"ALMERIA, S.A. DE C.V.",,
2023/07/31,2023/08/01,12M,12M,OTHER,CATERPILLAR,,B9R00125,,,,LAKEVIEW,UNALLOCATED,05:12,00:00,05:12,,0,100,0,0,0,0,,100,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,140M,Nivel_luzenac,GRADER,CATERPILLAR,140M,M9J00825,,Diesel,,LUZENAC,UNALLOCATED,,,,,,,,,,0,,0,Yes,MaxTracker 354018117407514,MaxTracker 354018117407514,MaxTracker 354018117407514,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,1538/047646,LIEBHERR 970 MTB,EXCAVATOR,LIEBHERR,970 SME,1538/047646,2019,Diesel,Stage IV,MONTEBRAS,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxTracker 354018118809486,MaxTracker 354018118809486,MaxTracker 354018118809486,,,LEASED,Solomat,,
2023/07/31,2023/08/01,18197,L150H,WHEELED_LOADER,VOLVO,L 150 H,L150H018197,2019,Diesel,,QUARTZ DE DORDOGNE,UNALLOCATED,10:08,00:00,10:08,28:12,0,100,122,12.04,0.32,,,100,Yes,MaxTracker 354018118825607,MaxTracker 354018118825607,MaxTracker 354018118825607,,Volvo - AEMP 2.0,leasing,,,
2023/07/31,2023/08/01,18227,L150H,WHEELED_LOADER,VOLVO,L 150 H,L150H018227,2019,Diesel,,QUARTZ DE DORDOGNE,UNALLOCATED,07:35,00:22,07:58,30:26,4.6,95.4,106,13.32,0.28,,,100,Yes,MaxTracker 354018118817497,MaxTracker 354018118817497,MaxTracker 354018118817497,,Volvo - AEMP 2.0,leasing,,,
2023/07/31,2023/08/01,18405,L150H,WHEELED_LOADER,VOLVO,L 150 H,L150H018405,2019,Diesel,,QUARTZ DE DORDOGNE,UNALLOCATED,,,,,,,124,,0.33,,,0,Yes,MaxTracker 354018118817299,MaxTracker 354018118817299,MaxTracker 354018118817299,,Volvo - AEMP 2.0,leasing,,,
2023/07/31,2023/08/01,2T301012,2T301012,OTHER,CATERPILLAR,,2T301012,,,,SYLACAUGA,UNALLOCATED,04:54,05:12,10:06,,51.5,48.5,154,15.25,0.41,0,,100,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,31144,31144,OTHER,KOMATSU,,31144,,,,LUZENAC,UNALLOCATED,00:00,,00:00,,,,,,,,,50,Yes,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,,,,
2023/07/31,2023/08/01,32833,32833,RIGID DUMP TRUCK,KOMATSU,,32833,,,,LUZENAC,UNALLOCATED,,,,,,,,,,,,0,Yes,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,,,,
2023/07/31,2023/08/01,330 C,pelle 330 C,EXCAVATOR,CATERPILLAR,330 C,,,Diesel,,LUZENAC,UNALLOCATED,06:20,00:00,06:20,28:49,0,100,,,,,,100,Yes,MaxActive - Cellular 862315066523696,MaxActive - Cellular 862315066523696,MaxActive - Cellular 862315066523696,,,OWNED,Imerys,,
2023/07/31,2023/08/01,35096,35096,OTHER,KOMATSU,,35096,,,,GLOMEL,UNALLOCATED,00:00,00:00,00:00,,,,0,0,0,,,50,Yes,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,Komatsu - AEMP 2.0,,,,
2023/07/31,2023/08/01,447,CAT 140H Motor Grader,GRADER,CATERPILLAR,140H,CCA00676(O),2007,,,ANDERSONVILLE,UNALLOCATED,00:00,00:00,00:00,25:37,,,,,,,,100,Yes,MaxActive - Cellular 868963040370744,MaxActive - Cellular 868963040370744,MaxActive - Cellular 868963040370744,,,OWNED,,,
2023/07/31,2023/08/01,517,CATD5K2,DOZER,CATERPILLAR,D5K2,CATOD5K2TKYY01173,2014,,,ANDERSONVILLE,UNALLOCATED,,,,,,,0,,0,,,0,Yes,,,,MaxTipper 862315066447607,CAT - AEMP 2.0,OWNED,,,
2023/07/31,2023/08/01,536,CAT D6T Dozer,DOZER,CATERPILLAR,D6T,CATOOD6TCWRN00532,2016,,,ANDERSONVILLE,UNALLOCATED,05:56,00:00,05:56,24:59,0,100,0,0,0,0,,100,Yes,MaxActive - Cellular 868963040390833,MaxActive - Cellular 868963040390833,MaxActive - Cellular 868963040390833,CAT - AEMP 2.0,CAT - AEMP 2.0,OWNED,,,
2023/07/31,2023/08/01,546,CAT D5K2,DOZER,CATERPILLAR,D5K2,CAT00D5KCKY202550,2016,Diesel,Stage IV,EUFAULA/ALABAMA,UNALLOCATED,04:56,01:55,06:51,17:16,28,72,,,,,,100,Yes,MaxActive - Cellular 862315066500363,MaxActive - Cellular 862315066500363,MaxActive - Cellular 862315066500363,,,OWNED,Imerys,RAC,
2023/07/31,2023/08/01,558L,558L,OTHER,CATERPILLAR,,RKB20112,,,,EUFAULA/ALABAMA,UNALLOCATED,04:48,03:36,08:24,,42.9,57.1,201,23.93,0.53,,,100,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,MaxTipper 862315066515866,CAT - AEMP 2.0,,,,
2023/07/31,2023/08/01,577,CAT D7RII ,DOZER,CATERPILLAR,D7RII,0AEC02314,2011,,,ANDERSONVILLE,UNALLOCATED,00:00,00:00,00:00,31:23,,,,,,,,100,Yes,MaxActive - Cellular 868963040340457,MaxActive - Cellular 868963040340457,MaxActive - Cellular 868963040340457,,,OWNED,,,
2023/07/31,2023/08/01,580L,Volvo A30G,DUMP_TRUCK,VOLVO,A30G,VCAOA30GH00742629,2020,,,ANDERSONVILLE,UNALLOCATED,06:09,00:53,07:02,22:56,12.5,87.5,,,,,,100,Yes,MaxActive - Cellular 868963040379240,MaxActive - Cellular 868963040379240,MaxActive - Cellular 868963040379240,,,LEASED,,,
2023/07/31,2023/08/01,581L,Volvo A30G,DUMP_TRUCK,VOLVO,A30G,VCEOA30GH00742632,2020,,,ANDERSONVILLE,UNALLOCATED,05:24,00:00,05:24,24:53,0,100,,,,,,100,Yes,MaxActive - Cellular 868963040379323,MaxActive - Cellular 868963040379323,MaxActive - Cellular 868963040379323,,,LEASED,,,
2023/07/31,2023/08/01,582L,Volvo A30G,DUMP_TRUCK,VOLVO,A30G,VCEOA30GT00742635,2020,,,ANDERSONVILLE,UNALLOCATED,05:17,00:00,05:17,24:50,0,100,,,,,,100,Yes,MaxActive - Cellular 868963040402620,MaxActive - Cellular 868963040402620,MaxActive - Cellular 868963040402620,,,LEASED,,,
2023/07/31,2023/08/01,583,Volvo A30G,DUMP_TRUCK,VOLVO,A30G,VCA030GP00742636,2020,,,ANDERSONVILLE,UNALLOCATED,05:29,00:40,06:08,24:49,10.7,89.3,,,,,,100,Yes,MaxActive - Cellular 868963040337149,MaxActive - Cellular 868963040337149,MaxActive - Cellular 868963040337149,,,LEASED,,,
2023/07/31,2023/08/01,587L,CAT 349F Excavator,EXCAVATOR,CATERPILLAR,349F,CAT0349FKHPD21144,2020,,,ANDERSONVILLE,UNALLOCATED,,,,,,,,,,,,0,Yes,,,,MaxTipper 862315066428615,,LEASED,,,
2023/07/31,2023/08/01,588L,CAT 349F Excavator,EXCAVATOR,CATERPILLAR,349F,CAT03349FVPD21147,2020,,,ANDERSONVILLE,UNALLOCATED,00:00,00:00,00:00,30:20,,,,,,,,100,Yes,MaxActive - Cellular 868963040370926,MaxActive - Cellular 868963040370926,MaxActive - Cellular 868963040370926,,,LEASED,,,
2023/07/31,2023/08/01,590,Volvo 180H,WHEELED_LOADER,VOLVO,180H,VCEL180HJ0005409,2020,,,ANDERSONVILLE,UNALLOCATED,00:00,00:00,00:00,22:16,,,,,,,,50,Yes,MaxActive - Cellular 868963040400368,MaxActive - Cellular 868963040400368,MaxActive - Cellular 868963040400368,,,LEASED,,,
2023/07/31,2023/08/01,594L,Komatsu D65EX-18 Dozer,DOZER,KOMATSU,D65EX-18,KMTOD127TKA092224,2021,,,ANDERSONVILLE,UNALLOCATED,06:09,00:51,06:59,23:03,12.1,87.9,,,,,,100,Yes,MaxActive - Cellular 868963040340093,MaxActive - Cellular 868963040340093,MaxActive - Cellular 868963040340093,,,LEASED,,,
2023/07/31,2023/08/01,606L,Hitachi ZW330-6 Loader,WHEELED_LOADER,HITACHI,ZW330-6,BANNGE60H92C25020,2021,Diesel,Stage IV,ANDERSONVILLE,UNALLOCATED,07:24,00:07,07:31,22:28,1.6,98.4,,,,,,100,Yes,MaxActive - Cellular 868963040370561,MaxActive - Cellular 868963040370561,MaxActive - Cellular 868963040370561,,,LEASED,,,
2023/07/31,2023/08/01,64W00191,8131,WATER TRUCK,CATERPILLAR,,64W00191,,,,LOMPOC,UNALLOCATED,,,,,,,,,,0,,0,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,OWNED,Imerys Q&M,,
2023/07/31,2023/08/01,64W00192,8132 ,HAUL TRUCK,CATERPILLAR,773 Bottom Dump,64W00192,,,,LOMPOC,UNALLOCATED,06:00,,06:00,,,100,,,,0,,100,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,OWNED,Imerys Q&M,,
2023/07/31,2023/08/01,64W00193,8133,773 HAUL TRUCK,CATERPILLAR,,64W00193,,,,LOMPOC,UNALLOCATED,06:24,,06:24,,,100,,,,0,,50,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,OWNED,Imerys Q&M,,
2023/07/31,2023/08/01,64W00194,8134,773 HAUL TRUCK,CATERPILLAR,,64W00194,,,,LOMPOC,UNALLOCATED,04:06,,04:06,,,100,,,,0,,100,Yes,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,CAT - AEMP 2.0,OWNED,Imerys Q&M,,
2023/07/31,2023/08/01,718172,EMILI ERG2-moteur,DRILL,COMACCHIO,800,,,Diesel,,BEAUVOIR,UNALLOCATED,,,,,,,,,,,,0,Yes,MaxTracker 357544372090700,MaxTracker 357544372090700,MaxTracker 357544372090700,,,,ERG,,
