StartDate,EndDate,AssetID,MachineName,MachineType,Load Capacity (Tonnes),OEM,Model,VIN,Manufacturing year,EngineType,EmissionStandard,Customer,Code,Site,HireStatus,ContractNumber,Active (hh:mm),Idle (hh:mm),Total On (hh:mm),Off (hh:mm),Idle (%),OutOfHours (hh:mm),RentalUtilisation (%),Fuel (L),Fuel burn (l/h),CO2 Emissions (t),Data Level (%),Telematics found,Activity Data Source,Location Data Source,Hour Meter Data Source,Fuel Data Source,Ownership type,Owner,Note,Subscriptions
2023/08/14,2023/08/15,1124,BOMAG BW120 AD4 ROLLER,ROLLER,,BOMAG,,101-880082385,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,Yes,Bomag - AEMP 2.0,Bomag - AEMP 2.0,Bomag - AEMP 2.0,Bomag - AEMP 2.0,,,,
2023/08/14,2023/08/15,1125,Bomag BW120AD Roller,PLANT,,BOMAG,,101880211317,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1212,HYUNDAI HL760-9 LOADING SHOVEL,PLANT,,TRACKUNIT,,HHKHLL01JC0000361,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1213,HYUNDAI HL760-9 LOADING SHOVEL,PLANT,,TRACKUNIT,,HHKHLL01CC0000412,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1215,Dozer D6N LGP CATERILLER Low Emission,PLANT,,CATERPILLAR,,PBA00717,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1217,HITACHI ZW250-3 LOADING SHOVEL,PLANT,,HITACHI,,4GG000437,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1219,Dozer D4K LGP CATERPILLAR Low Emission,PLANT,,CATERPILLAR,,KRR00501,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,00:00,,00:00,,,00:00,0,,,,100,Yes,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,,,,
2023/08/14,2023/08/15,1270,12 Tonne  912DS Dump Truck P/swivel,DUMPERS,,TRACKUNIT,,10832,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1271,12 Tonne Dump Truck Straight Tip,DUMPERS,,TRACKUNIT,,10904,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1397,14 TONNE HITACHI ZX135US-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,HCMBFU00T00086748,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1519,5 TONNE HITACHI ZX48U-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,1NM020902,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1524,5 TONNE HITACHI ZX48U-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,1NM020935,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1535,5 TONNE HITACHI ZX48U-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,1NM020959,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1536,5 TONNE HITACHI ZX48U-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,1NM020958,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1537,5 TONNE HITACHI ZX48U-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,1NM020961,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1538,5 TONNE HITACHI ZX48U-5 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,AEA030455,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1539,5 TONNE HITACHI ZX48U-5 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,030459,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,1777,9 TONNE CATERPILLAR 308DSBRT (LONG REACH) EXCAVATOR LONG REACH,EXCAVATORS,,CATERPILLAR,,OFYC01968,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,2087,24 TONNE HITACHI ZX225USLC-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,HCMBFH00C00221510,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,2088,24 TONNE HITACHI ZX225USLC-3 EXCAVATOR ZERO TAIL,EXCAVATORS,,HITACHI,,BFH221536,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,263,14 TONNE HITACHI ZX140W-3 RUBBER DUCK,RUBBER DUCK,,HITACHI,,CEA021292,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,266,14 TONNE HITACHI ZX140W-3 RUBBER DUCK,RUBBER DUCK,,HITACHI,,CEA021330,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,3013,9 Mtr Telehandler - Low Emission,TELEHANDLER,,JCB,,2173321,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,3CX15,JCB 3CX BACKHOE,JCB,,JCB,,JCB3CX4TT02444620,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX20,CAT428F2 BACKHOE LOADER,BACKHOE LOADER,,CATERPILLAR,,CX130BLR,,Diesel,Stage IV,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,Yes,CAT - AEMP 2.0,,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX21,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4TPH2509818,,Diesel,Stage IIIB,SPEEDY ASSET SERVICES,S183,CADNET GAS,On hire,WSD43404,00:00,00:00,00:00,,,00:00,0,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX22,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4TJH2509823,,Diesel,Stage IIIB,VINCI CONSTRUCTION UK LTD(STL),V050,PETERSFIELD ROAD,On hire,PH77907,08:44,02:01,10:45,,18.7,00:00,60,86,8,0.23,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX23,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4THH2509831,,Diesel,Stage IIIB,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,00:00,00:00,00:00,,,00:00,0,0,0,0,50,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX25,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4TCJ2516990,,Diesel,Stage IIIB,BARHALE LIMITED,438,NORFOLK - NR17,On hire,PH80456,04:56,07:13,12:09,,59.3,00:00,67,41,3.37,0.11,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX26,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4TVJ2517011,,Diesel,Stage IIIB,SUNBELT RENTALS LTD (EA),A043,NORTH DEVON - EX39 4FG,On hire,NSD8065,00:00,00:00,00:00,,,00:00,0,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX27,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4THJ2517028,,Diesel,Stage IIIB,CLANCY DOCWRA LTD,014,CHARING - TN27,On hire,SDW85701,03:45,06:21,10:06,,62.8,00:00,56,37,3.66,0.1,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX28,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4TTJ2517017,,Diesel,Stage IIIB,EKFB JV,E116,CHIPPING WARDEN GREEN TUNNELL,On hire,PH70424A,09:51,03:39,13:30,,27,00:00,75,70,5.19,0.18,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX29,JCB 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CX4TTJ2517065,,,,EKFB JV,E116,GREATWORTH GREEN TUNNELL,On hire,PH70528A,08:23,05:13,13:36,,38.3,00:00,76,82,6.03,0.22,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX30,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CXAPAL2870537,,Diesel,Stage IV,EKFB JV,E116,GREEN LEAF NURSERY,On hire,PH71067,03:17,07:25,10:42,,69.3,00:00,59,43,4.02,0.11,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX31,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB3CXAPCL2870544,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,00:00,00:00,00:00,,,00:00,0,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX32,CAT432F BACKHOE LOADER,BACKHOE LOADER,,CATERPILLAR,,HWP02908,,Diesel,Stage IV,THAMES WATER UTILITIES LIMITED,T158,CROYDON - DEPOT,On hire,PH79732,03:54,01:30,05:24,,27.8,00:00,30,41,7.59,0.11,100,Yes,CAT - AEMP 2.0,,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX33,CAT432F BACKHOE LOADER,BACKHOE LOADER,,CATERPILLAR,,HWP02959,,Diesel,Stage IV,A E YATES LIMITED,A165,MIDDLETON TBA,On hire,WPH43086,07:12,04:00,11:12,,35.7,00:00,62,52,4.64,0.14,100,Yes,CAT - AEMP 2.0,,CAT - AEMP 2.0,CAT - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX34,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54PM3001605,,,,THAMES WATER UTILITIES LIMITED,T158,BRIXTON,Due for delivery today,PH83141,03:47,04:40,08:27,,55.2,00:00,47,41,4.85,0.11,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX35,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54JM3002028,,,,THAMES WATER UTILITIES LIMITED,T158,VARIOUS SITES,On hire,PH82978,04:34,01:50,06:24,,28.6,00:00,36,37,5.78,0.1,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX36,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54PM3001927,,,,GALLIFORD TRY INFRASTRUCTURE,G100,NORFOLK - NR4,On hire,PH83475,06:55,01:41,08:36,,19.7,00:00,48,66,7.67,0.17,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX37,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54PM3001930,,,,BALFOUR BEATTY - ANGLIAN WATER,B259,PETERBOROUGH - PE6 3TE,On hire,SDW84949,00:07,00:02,00:09,,19.8,00:00,1,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX38,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54CM3001942,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Due for delivery today,,07:07,01:56,09:03,,21.4,00:00,50,45,4.97,0.12,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX39,JCB CONTRACTOR PRO 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54JN3014729,,,,THAMES WATER UTILITIES LIMITED,T158,VARIOUS SITES,On hire,PH82980,05:31,04:58,10:29,,47.4,00:00,58,55,5.24,0.15,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX40,JCB CONTRACTOR PRO 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54EN3014769,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Due for delivery today,,03:25,00:41,04:06,,16.6,00:00,23,31,7.56,0.08,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX41,JCB CONTRACTOR PRO 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54JN3014830,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,00:00,00:00,00:00,,,00:00,0,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX42,JCB CONTRACTOR PRO 3CX BACKHOE,BACKHOE LOADER,,JCB,,JCB23H54TN3015519,,,,EKFB JV,E116,CHIPPING WARDEN GREEN TUNNEL - SAT COMPOUND,On hire,PH76207,04:05,11:37,15:42,,74,00:57,87,61,3.89,0.16,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX43,JCB CONTRACTOR PRO 3CX BACKHOE SERVO CONTROL,BACKHOE LOADER,,JCB,,JCB23H54VN3015723,,,,KIER INTEGRATED SERVICES LTD,K060,GALILEO CLOSE - PL7 4JW,On hire,NSD7999,01:12,00:18,01:30,,19.7,00:00,8,8,5.33,0.02,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX44,JCB CONTRACTOR PRO 3CX BACKHOE SERVO CONTROL,BACKHOE LOADER,,JCB,,JCB23H54KN3016057,,,,MORRISON WATER SERVICES,M027,STRATFORD - E15,On hire,PH83853,00:00,00:00,00:00,,,00:00,0,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX45,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,3142897,,,,THAMES WATER UTILITIES LIMITED,T158,VARIOUS SITES,On hire,PH82981,02:40,02:32,05:11,,48.7,00:00,29,30,5.78,0.08,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX46,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,3142886,,,,THAMES WATER UTILITIES LIMITED,T158,TW YARD - KINGSTON,On hire,PH83049,03:23,02:10,05:33,,38.8,00:00,31,33,5.95,0.09,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX47,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,3142874,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Unconfirmed Off Hire 3+ Days Overdue,WPH42989,00:27,00:27,00:54,,49.6,00:00,5,2,2.22,0.01,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX48,JCB ECOMAX 3CX BACKHOE,BACKHOE LOADER,,JCB,,3142882,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,01:03,00:54,01:57,,46.1,00:00,11,11,5.64,0.03,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX49,JCB ECOMAX 3CX BACKHOE SERVO CONTROL,BACKHOE LOADER,,JCB,,3142830,,,,GT INFRASTRUCTURE HIGHWAYS,G100A,SYNGENTA HUDDERSFIELD,On hire,WSD40887,03:40,00:41,04:21,,15.9,00:00,24,27,6.21,0.07,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX50,JCB ECOMAX 3CX BACKHOE SERVO CONTROL,BACKHOE LOADER,,JCB,,3142836,,,,VINCI CONSTRUCTION UK LTD(STL),V050,UPPER FROYLE,On hire,PH82576,05:03,07:18,12:21,,59.1,00:00,69,67,5.43,0.18,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX51,JCB ECOMAX 3CX BACKHOE SERVO CONTROL,BACKHOE LOADER,,JCB,,JCB23H54VN3142858,,,,THAMES WATER UTILITIES LIMITED,T158,DARTFORD- DA2,On hire,SDW85000,00:00,00:00,00:00,,,00:00,0,0,0,0,100,Yes,JCB - AEMP 2.0,,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,3CX52,JCB ECOMAX 3CX BACKHOE SERVO CONTROL,BACKHOE LOADER,,JCB,,3142864,,,,GEOTECHNICS LIMITED,G021,LONG NIGHTLAYERS DROVE,On hire,PH83662,03:54,00:18,04:12,,7.1,00:00,23,32,7.62,0.08,100,Yes,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,JCB - AEMP 2.0,,,,
2023/08/14,2023/08/15,4007,CX130BLR CASE (LONG REACH) EXCAVATOR 13T,EXCAVATOR,,CASE,,DCH130R5NDEAD1673,,Diesel,Stage IIIA,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4008,CX130BLR CASE (LONG REACH) EXCAVATOR 13T,EXCAVATOR,,CASE,,DCH130R5NDELB1672,,Diesel,Stage IIIA,FLO JV,F090,C410 91 ALBERT EMBANKMENT,Due for delivery today,SDW85242,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4009,CX130BLR CASE (LONG REACH) EXCAVATOR 13T,EXCAVATORS,,CASE,,DCH130R5NDELB1674,,Diesel,Stage IIIA,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4011,CAT CS64B ROLLER SELF PROPELLED 13T,PLANT,,CATERPILLAR,,C6400120,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4012,12 Tonne Dump Truck Straight Tip,DUMPERS,,TRACKUNIT,,,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4014,9 TONNE STRAIGHT DUMPER THWAITES,DUMPER,,TRACKUNIT,,C6247,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Unconfirmed Off Hire 3+ Days Overdue,SDW84439,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4015,9 TONNE SWIVEL DUMPER THWAITES,DUMPERS,,TRACKUNIT,,C6154,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4016,9 TONNE SWIVEL DUMPER THWAITES,DUMPER,,TRACKUNIT,,C6157,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,403,3 TONNE HITACHI ZX27-R EXCAVATOR,EXCAVATORS,,HITACHI,,HCM1YC00T00007658,,Diesel,Stage IIIA,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,Yes,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,Trackunit - AEMP 2.0,,,,
2023/08/14,2023/08/15,404,3T HITACHI ZX27-R LONG REACH EXCAVATOR,EXCAVATOR,,TRACKUNIT,,HCM1YC00C00007651,,Diesel,Stage IIIA,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,00:00,,00:00,,,00:00,0,,,,100,Yes,Trackunit - AEMP 2.0,,Trackunit - AEMP 2.0,,,,,
2023/08/14,2023/08/15,4046,15 TONNE CATERPILLAR CAT312E EXCAVATOR LOW EMISSION,EXCAVATORS,,CATERPILLAR,,PZL00430,,Diesel,Stage IIIB,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,405,3 TONNE HITACHI ZX27-R EXCAVATOR,EXCAVATORS,,HITACHI,,HCM1YC00P00007595,,Diesel,Stage IIIA,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4057,25 TONNE DUMP TRUCK VOLVO A25F c/w TAILGATE,DUMPERS,,VOLVO,,A25F013532,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,Yes,Volvo - AEMP 2.0,,Volvo - AEMP 2.0,Volvo - AEMP 2.0,,,,
2023/08/14,2023/08/15,4071,25 TONNE DUMP TRUCK B25 BELL,DUMPERS,,BELL,,6305646,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4072,25 TONNE DUMP TRUCK B25 BELL,DUMPERS,,BELL,,6305683,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4093,40 TONNE LIEBHERR 934C SHAFT SINK EXCAVATOR,EXCAVATOR,,TRACKUNIT,,WLHZ0918J2C024908,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,Available,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4101,5 TONNE U55-4 KUBOTA EXCAVATOR ZERO TAIL,EXCAVATORS,,TRACKUNIT,,JKVV0554VOIH50872,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4102,6 TONNE KUBOTA U55-4 EXCAVATOR ZERO TAIL,EXCAVATORS,,TRACKUNIT,,JKVV0554POIH50871,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
2023/08/14,2023/08/15,4104,9 TONNE KX080-3 KUBOTA EXCAVATOR ZERO TAIL,EXCAVATOR,,TRACKUNIT,,JKUKO802EOIN24319,,,,UNALLOCATED,UNALLOCATED,UNALLOCATED,,,,,,,,,,,,,0,No,,,,,,,,
